"family","binomial","collectDate","country","stateProv","county"
"Apocynaceae","Amsonia tomentosa",1996-04-04,"United States","Arizona","Coconino"
"Apocynaceae","Asclepias curassavica",1977-05-27,"Mexico","Sinaloa","Ahome"
"Apocynaceae","Asclepias asperula",1995-06-02,"United States","New Mexico","Grant"
"Apocynaceae","Amsonia jonesii",2000-04-19,"United States","Arizona","Mohave"
"Apocynaceae","Apocynum androsaemifolium",2007-08-04,"United States","California","Alpine"
"Apocynaceae","Cycladenia humilis",NA,"United States","California","San Bernardino"
"Apocynaceae","Asclepias subulata",1958-12-19,"Mexico","Baja California Sur","La Paz"
"Apocynaceae","Asclepias lemmonii",1996-09-05,"Mexico","Sonora","Yécora"
"Apocynaceae","Amsonia longiflora",1993-04-17,"United States","New Mexico","Otero"
"Apocynaceae","Asclepias erosa",1988-09-26,"United States","California","San Bernardino"
"Apocynaceae","Asclepias albicans",2013-03-15,"United States","California","Riverside"
"Apocynaceae","Apocynum androsaemifolium",2009-08-07,"United States","California","Butte"
"Apocynaceae","Asclepias asperula",2005-05-19,NA,NA,NA
"Apocynaceae","Asclepias subverticillata",2000-07-20,"United States","Nevada","Washoe"
"Apocynaceae","Asclepias californica",1938-07-04,"United States","California","Ventura"
"Apocynaceae","Asclepias vestita",1933-05-01,"United States","California","San Benito"
"Apocynaceae","Funastrum cynanchoides",1885-01-01,"Mexico","Chihuahua","Aquiles Serdán"
"Apocynaceae","Funastrum cynanchoides",1998-06-08,"Mexico","Sinaloa","Guasave"
"Apocynaceae","Asclepias speciosa",1915-07-06,"Canada","British Columbia","Thompson-Nicola"
"Apocynaceae","Metastelma latifolium",1890-09-16,"Mexico","Sonora","Álamos"
"Apocynaceae","Cycladenia humilis",1964-07-22,"United States","California","Glenn"
"Apocynaceae","Apocynum cannabinum",1934-06-16,"United States","Colorado","Park"
"Apocynaceae","Apocynum androsaemifolium",1989-06-01,"United States","Montana","Ravalli"
"Apocynaceae","Apocynum cannabinum",1962-07-23,"United States","Arizona","Navajo"
"Apocynaceae","Asclepias cordifolia",1940-05-23,"United States","California","Shasta"
"Apocynaceae","Asclepias erosa",1980-07-06,"United States","Nevada","Nye"
"Apocynaceae","Echites yucatanensis",1986-08-05,NA,NA,NA
"Apocynaceae","Asclepias elata",1982-09-25,"Mexico","Chihuahua","Casas Grandes"
"Apocynaceae","Apocynum cannabinum",1973-07-30,"United States","Montana","Big Horn"
"Apocynaceae","Asclepias macrotis",1982-08-02,"United States","New Mexico","Hidalgo"
"Apocynaceae","Dictyanthus altatensis",1903-02-06,"Mexico","Sonora","La Colorada"
"Apocynaceae","Apocynum androsaemifolium",1965-07-09,"Canada","British Columbia","Squamish-Lillooet"
"Apocynaceae","Funastrum cynanchoides",2016-03-04,"United States","California","Imperial"
"Apocynaceae","Apocynum androsaemifolium",2010-08-10,"United States","California","Humboldt"
"Apocynaceae","Asclepias tuberosa",1978-08-29,"United States","Arizona","Cochise"
"Apocynaceae","Apocynum cannabinum",1979-07-12,"United States","Nevada","Nye"
"Apocynaceae","Gonolobus gonoloboides",1998-08-17,"Mexico","Sonora","Yécora"
"Apocynaceae","Asclepias fournieri",1987-05-15,"Mexico","Chihuahua","Temósachic"
"Apocynaceae","Asclepias linaria",2002-04-18,"Mexico","Chihuahua","Urique"
"Apocynaceae","Apocynum androsaemifolium",1989-06-01,"United States","Idaho","Clearwater"
"Apocynaceae","Asclepias speciosa",2003-06-27,"United States","Colorado","Jefferson"
"Apocynaceae","Asclepias albicans",2009-03-08,"United States","California","Riverside"
"Apocynaceae","Funastrum cynanchoides",2001-06-04,"United States","California","Los Angeles"
"Apocynaceae","Asclepias asperula",NA,"United States","Colorado","Rio Blanco"
"Apocynaceae","Asclepias erosa",2015-04-28,"United States","California","San Bernardino"
"Apocynaceae","Forsteronia spicata",NA,NA,NA,NA
"Apocynaceae","Asclepias quinquedentata",1982-07-25,"United States","Arizona","Pima"
"Apocynaceae","Apocynum androsaemifolium",1986-07-10,"United States","Oregon","Linn"
"Apocynaceae","Asclepias solanoana",1952-06-18,"United States","California","Sonoma"
"Apocynaceae","Asclepias subverticillata",1967-07-13,"United States","New Mexico","Torrance"
"Apocynaceae","Apocynum cannabinum",2013-06-11,"United States","Colorado","Custer"
"Apocynaceae","Asclepias angustifolia",1998-08-17,"Mexico","Sonora","Yécora"
"Apocynaceae","Asclepias californica",1929-05-11,"United States","California","Riverside"
"Apocynaceae","Asclepias cordifolia",1974-06-09,"United States","California","Alpine"
"Apocynaceae","Asclepias albicans",2010-03-24,"United States","California","Riverside"
"Apocynaceae","Amsonia tomentosa",1974-04-27,"United States","California","San Bernardino"
"Apocynaceae","Apocynum androsaemifolium",1966-07-22,"United States","California","Trinity"
"Apocynaceae","Asclepias speciosa",1983-07-22,"United States","California","Mono"
"Apocynaceae","Apocynum cannabinum",2010-08-31,"United States","California","San Bernardino"
"Apocynaceae","Asclepias californica",2007-05-20,"United States","California","San Diego"
"Apocynaceae","Asclepias subulata",2012-03-19,"United States","California","Riverside"
"Apocynaceae","Asclepias pumila",1986-08-25,"United States","Colorado","Jefferson"
"Apocynaceae","Amsonia jonesii",1977-06-21,"United States","Utah","Washington"
"Apocynaceae","Apocynum androsaemifolium",2001-06-01,"United States","Oregon","Hood River"
"Apocynaceae","Asclepias speciosa",1976-07-23,"Canada","Alberta","Division No. 2"
"Apocynaceae","Asclepias cordifolia",1887-05-16,"United States","Oregon","Jackson"
"Apocynaceae","Apocynum androsaemifolium",1936-08-08,"United States","California","Fresno"
"Apocynaceae","Asclepias masonii",1963-04-24,"Mexico","Baja California Sur","Comondú"
"Apocynaceae","Asclepias cryptoceras",1980-07-15,"United States","California","Mono"
"Apocynaceae","Asclepias californica",2000-05-14,"United States","California","Contra Costa"
"Apocynaceae","Apocynum androsaemifolium",1977-09-04,"United States","California","Trinity"
"Apocynaceae","Apocynum cannabinum",1934-06-10,"United States","California","Santa Clara"
"Apocynaceae","Asclepias involucrata",1978-05-10,"United States","Arizona","Coconino"
"Apocynaceae","Plumeria rubra",1998-09-12,"Mexico","Sinaloa","Mocorito"
"Apocynaceae","Asclepias tuberosa",1939-08-23,"United States","Arizona","Santa Cruz"
"Apocynaceae","Funastrum cynanchoides",1991-04-02,"Mexico","Baja California","Ensenada"
"Apocynaceae","Apocynum cannabinum",NA,"Canada","British Columbia","Kootenay Boundary"
"Apocynaceae","Asclepias uncialis",1982-05-21,"United States","Utah","Wayne"
"Apocynaceae","Asclepias speciosa",1973-07-28,"United States","Montana","Treasure"
"Apocynaceae","Asclepias californica",NA,"United States","California","Monterey"
"Apocynaceae","Apocynum androsaemifolium",1993-06-01,"United States","Washington","Okanogan"
"Apocynaceae","Apocynum androsaemifolium",1991-06-01,"United States","Montana","Flathead"
"Apocynaceae","Gonolobus gonoloboides",1996-09-05,"Mexico","Sonora","Suaqui Grande"
"Apocynaceae","Apocynum cannabinum",1992-06-13,"United States","Arizona","Yavapai"
"Apocynaceae","Asclepias macrotis",1946-04-01,"United States","Arizona","Pima"
"Apocynaceae","Asclepias cordifolia",1934-04-01,"United States","California","Sacramento"
"Apocynaceae","Apocynum androsaemifolium",1991-08-14,"United States","California","Los Angeles"
"Apocynaceae","Asclepias erosa",1902-05-20,"United States","California","San Bernardino"
"Apocynaceae","Apocynum cannabinum",2015-06-23,"United States","Colorado","Jefferson"
"Apocynaceae","Funastrum pannosum",1934-07-01,"Mexico","Sinaloa","Mazatlán"
"Apocynaceae","Asclepias speciosa",1952-07-16,"United States","California","Trinity"
"Apocynaceae","Asclepias albicans",1924-04-01,"United States","Arizona","Yuma"
"Apocynaceae","Apocynum cannabinum",1970-07-10,"United States","California","Ventura"
"Apocynaceae","Funastrum cynanchoides",2003-09-27,"United States","California","San Bernardino"
"Apocynaceae","Mandevilla foliosa",1989-07-17,"Mexico","Durango","Tepehuanes"
"Apocynaceae","Asclepias subulata",1905-05-15,"United States","California","San Bernardino"
"Apocynaceae","Apocynum androsaemifolium",1934-09-04,"United States","California","Plumas"
"Apocynaceae","Asclepias cordifolia",2007-06-20,"United States","California","El Dorado"
"Apocynaceae","Asclepias californica",1932-05-28,"United States","California","San Diego"
"Apocynaceae","Asclepias tuberosa",1974-06-16,"United States","Arizona","Navajo"
"Apocynaceae","Apocynum androsaemifolium",1927-07-19,"United States","Oregon","Deschutes"
"Apocynaceae","Asclepias erosa",2004-05-18,"United States","California","San Bernardino"
"Apocynaceae","Apocynum cannabinum",1973-07-28,"United States","Montana","Rosebud"
"Apocynaceae","Asclepias solanoana",1949-06-04,"United States","California","Sonoma"
"Apocynaceae","Asclepias solanoana",1980-06-20,"United States","California","Trinity"
"Apocynaceae","Apocynum androsaemifolium",2001-07-04,"United States","Oregon","Jackson"
"Apocynaceae","Amsonia palmeri",1979-05-12,"United States","Arizona","Graham"
"Apocynaceae","Apocynum androsaemifolium",1930-07-07,"United States","California","Butte"
"Apocynaceae","Cycladenia humilis",1955-07-07,"United States","California","Monterey"
"Apocynaceae","Asclepias californica",1995-06-14,"United States","California","San Bernardino"
"Apocynaceae","Apocynum cannabinum",1930-08-15,"United States","New Mexico","Sandoval"
"Apocynaceae","Asclepias cordifolia",1965-05-15,"United States","California","Placer"
"Apocynaceae","Apocynum androsaemifolium",1973-06-26,"United States","Colorado","Boulder"
"Apocynaceae","Asclepias brachystephana",1970-09-13,"Mexico","Chihuahua","Allende"
"Apocynaceae","Asclepias speciosa",1948-07-02,"Canada","British Columbia","East Kootenay"
"Apocynaceae","Apocynum cannabinum",1974-07-11,"United States","California","Inyo"
"Apocynaceae","Asclepias speciosa",1989-06-02,"United States","New Mexico","Bernalillo"
"Apocynaceae","Asclepias asperula",1977-06-09,"United States","New Mexico","Otero"
"Apocynaceae","Rauvolfia tetraphylla",1934-11-01,"Mexico","Sinaloa","Mazatlán"
"Apocynaceae","Funastrum pannosum",1988-08-10,"Mexico","Sinaloa","Culiacán"
"Apocynaceae","Tabernaemontana grandiflora",1990-07-24,"Mexico","Nayarit","Compostela"
"Apocynaceae","Apocynum cannabinum",1894-07-29,"United States","Oregon","Deschutes"
"Apocynaceae","Asclepias subverticillata",1977-08-31,"United States","New Mexico","Los Alamos"
"Apocynaceae","Funastrum cynanchoides",1973-05-07,"Mexico","Baja California","Ensenada"
"Apocynaceae","Asclepias subverticillata",1995-08-28,"United States","New Mexico","Rio Arriba"
"Apocynaceae","Apocynum cannabinum",1888-05-31,"United States","California","San Bernardino"
"Apocynaceae","Funastrum cynanchoides",2010-05-05,"United States","California","San Diego"
"Apocynaceae","Asclepias cordifolia",1941-06-11,"United States","California","Tuolumne"
"Apocynaceae","Asclepias asperula",1952-07-13,"United States","New Mexico","Sandoval"
"Apocynaceae","Forsteronia spicata",NA,NA,NA,NA
"Apocynaceae","Asclepias asperula",2001-06-12,"United States","Arizona","Coconino"
"Apocynaceae","Asclepias eriocarpa",1994-06-14,"Mexico","Baja California","Ensenada"
"Apocynaceae","Seutera palmeri",1996-06-27,"Mexico","Baja California Sur","La Paz"
"Apocynaceae","Asclepias californica",1928-05-22,"United States","California","Riverside"
"Apocynaceae","Apocynum androsaemifolium",1980-07-22,"United States","California","Siskiyou"
"Apocynaceae","Asclepias vestita",1929-04-28,"United States","California","Los Angeles"
"Apocynaceae","Asclepias linaria",1976-03-30,"United States","Arizona","Pima"
"Apocynaceae","Asclepias asperula",1999-08-16,NA,NA,NA
"Apocynaceae","Apocynum androsaemifolium",1989-07-17,"United States","California","San Bernardino"
"Apocynaceae","Asclepias erosa",1928-07-28,"United States","California","Santa Barbara"
"Apocynaceae","Apocynum androsaemifolium",1994-07-18,"Canada","Alberta","Division No. 3"
"Apocynaceae","Asclepias cordifolia",1927-05-28,"United States","California","Kern"
"Apocynaceae","Asclepias cordifolia",1967-08-16,"United States","California","Trinity"
"Apocynaceae","Apocynum androsaemifolium",1901-05-29,"United States","California","San Diego"
"Apocynaceae","Asclepias involucrata",1994-05-10,"United States","Arizona","Cochise"
"Apocynaceae","Asclepias asperula",1932-04-06,"United States","Arizona","Maricopa"
"Apocynaceae","Apocynum androsaemifolium",1979-08-01,"United States","California","Humboldt"
"Apocynaceae","Asclepias subulata",1984-10-15,"Mexico","Baja California Sur","Mulegé"
"Apocynaceae","Asclepias linaria",1978-08-02,"United States","Arizona","Pinal"
"Apocynaceae","Asclepias sullivantii",NA,"United States","Colorado","Park"
"Apocynaceae","Asclepias albicans",2004-11-26,"Mexico","Baja California","Ensenada"
"Apocynaceae","Asclepias erosa",2001-09-10,"United States","California","Los Angeles"
"Apocynaceae","Plumeria rubra",1975-06-24,NA,NA,NA
"Apocynaceae","Asclepias linaria",1954-08-01,"Mexico","Chihuahua","Maguarichic"
"Apocynaceae","Marsdenia lanata",1998-12-05,NA,NA,NA
"Apocynaceae","Asclepias californica",1927-04-30,"United States","California","Los Angeles"
"Apocynaceae","Asclepias solanoana",2001-05-28,"United States","California","Shasta"
"Apocynaceae","Asclepias subverticillata",NA,"United States","Colorado","Montezuma"
"Apocynaceae","Asclepias speciosa",1886-05-31,"United States","California","Inyo"
"Apocynaceae","Rauvolfia tetraphylla",1991-08-18,NA,NA,NA
"Apocynaceae","Funastrum cynanchoides",1983-03-17,"Mexico","Sinaloa","San Ignacio"
"Apocynaceae","Apocynum cannabinum",1968-08-31,"Canada","British Columbia","Okanagan-Similkameen"
"Apocynaceae","Asclepias erosa",2010-10-21,"United States","California","Riverside"
"Apocynaceae","Funastrum cynanchoides",1928-07-09,"United States","California","Riverside"
"Apocynaceae","Rauvolfia sandwicensis",NA,NA,NA,NA
"Apocynaceae","Tabernaemontana amygdalifolia",1951-06-30,"Mexico","Nayarit","Compostela"
"Apocynaceae","Apocynum cannabinum",1958-07-19,"United States","Arizona","Gila"
"Apocynaceae","Prosthecidiscus guatemalensis",1970-12-14,"Mexico","Jalisco","Cabo Corrientes"
"Apocynaceae","Apocynum cannabinum",1938-01-01,"United States","Oregon","Josephine"
"Apocynaceae","Asclepias subulata",1932-08-28,"United States","Arizona","Maricopa"
"Apocynaceae","Asclepias asperula",1942-06-13,"United States","Colorado","Fremont"
"Apocynaceae","Asclepias albicans",1986-03-02,"United States","California","Riverside"
"Apocynaceae","Asclepias cordifolia",1962-06-21,"United States","California","Fresno"
"Apocynaceae","Apocynum androsaemifolium",1894-08-31,"United States","California","Modoc"
"Apocynaceae","Asclepias angustifolia",1997-07-13,"Mexico","Sonora","Yécora"
"Apocynaceae","Asclepias speciosa",1938-07-31,"United States","Arizona","Apache"
"Apocynaceae","Asclepias latifolia",1934-05-27,"United States","Arizona","Coconino"
"Apocynaceae","Asclepias ovalifolia",1906-08-12,"Canada","Alberta","Division No. 7"
"Apocynaceae","Metastelma californicum",1997-10-20,"Mexico","Baja California Sur","Mulegé"
"Apocynaceae","Asclepias albicans",1932-03-27,"United States","Arizona","Yuma"
"Apocynaceae","Asclepias cordifolia",1975-07-10,"United States","California","El Dorado"
"Apocynaceae","Matelea parvifolia",1988-11-12,"United States","Arizona","Pima"
"Apocynaceae","Cycladenia humilis",1995-07-14,"United States","California","San Bernardino"
"Apocynaceae","Asclepias cordifolia",1941-07-10,"United States","California","Tuolumne"
"Apocynaceae","Matelea parvifolia",1962-12-11,"United States","Arizona","Pima"
"Apocynaceae","Asclepias asperula",1980-05-21,"United States","Arizona","Graham"
"Apocynaceae","Haplophyton crooksii",1976-08-16,"United States","Arizona","Pima"
"Apocynaceae","Asclepias cryptoceras",1971-06-09,"United States","Utah","Uintah"
"Apocynaceae","Asclepias speciosa",1915-07-06,"United States","Oregon","Umatilla"
"Apocynaceae","Apocynum androsaemifolium",1953-07-23,"Canada","Alberta","Division No. 3"
"Apocynaceae","Asclepias erosa",1934-05-01,"United States","California","Kern"
"Apocynaceae","Apocynum androsaemifolium",2009-07-16,"United States","California","Placer"
"Apocynaceae","Asclepias solanoana",1955-07-17,"United States","California","Trinity"
"Apocynaceae","Vallesia glabra",1998-05-27,"Mexico","Baja California Sur","Mulegé"
"Apocynaceae","Haplophyton crooksii",1983-10-20,"United States","Arizona","Pima"
"Apocynaceae","Seutera palmeri",1928-01-31,"Mexico","Baja California Sur","La Paz"
"Apocynaceae","Asclepias californica",1969-06-26,"United States","California","San Bernardino"
"Apocynaceae","Mandevilla subsagittata",1983-07-26,"Mexico","Sinaloa","El Rosario"
"Apocynaceae","Asclepias cryptoceras",1948-06-21,"United States","Oregon","Malheur"
"Apocynaceae","Apocynum androsaemifolium",NA,"United States","Oregon","Marion"
"Apocynaceae","Apocynum cannabinum",1934-05-20,"United States","California","Kern"
"Apocynaceae","Asclepias speciosa",1903-08-01,"United States","Washington","Skamania"
"Apocynaceae","Asclepias albicans",2006-03-17,"United States","California","San Diego"
"Apocynaceae","Asclepias incarnata",NA,"United States","Colorado","Larimer"
"Apocynaceae","Haplophyton crooksii",1973-06-19,"Mexico","Chihuahua","Julimes"
"Apocynaceae","Funastrum cynanchoides",1938-06-29,"Mexico","Sonora","San Pedro de la Cueva"
"Apocynaceae","Asclepias cordifolia",1977-07-14,"United States","California","Lake"
"Apocynaceae","Asclepias subulata",1940-11-10,"United States","California","Riverside"
"Apocynaceae","Seutera palmeri",2008-11-27,"Mexico","Baja California Sur","La Paz"
"Apocynaceae","Asclepias subulata",1994-06-01,"Mexico","Baja California","Ensenada"
"Apocynaceae","Cycladenia humilis",NA,"United States","California","Plumas"
"Apocynaceae","Asclepias californica",1885-05-31,"United States","California","San Bernardino"
"Apocynaceae","Forsteronia spicata",1983-02-01,NA,NA,NA
"Apocynaceae","Asclepias cordifolia",1989-06-21,"United States","California","Modoc"
"Apocynaceae","Amsonia tomentosa",1952-04-18,"United States","California","San Bernardino"
"Apocynaceae","Asclepias brachystephana",1973-06-14,"Mexico","Chihuahua","Coyame del Sotol"
"Apocynaceae","Plumeria rubra",1999-09-10,"Mexico","Chihuahua","Batopilas"
"Apocynaceae","Asclepias vestita",1923-06-22,"United States","California","San Luis Obispo"
"Apocynaceae","Funastrum cynanchoides",1966-03-20,"United States","California","Imperial"
"Apocynaceae","Asclepias linaria",1966-11-19,"United States","Arizona","Cochise"
"Apocynaceae","Asclepias albicans",1966-04-05,"United States","California","San Diego"
"Apocynaceae","Cynanchum ligulatum",1936-08-15,"Mexico","Chihuahua","Uruachic"
"Apocynaceae","Asclepias brachystephana",1988-05-16,"Mexico","Chihuahua","Casas Grandes"
"Apocynaceae","Asclepias vestita",1893-07-04,"United States","California","Los Angeles"
"Apocynaceae","Haplophyton crooksii",1939-12-27,"United States","Arizona","Pima"
"Apocynaceae","Prestonia mexicana",1990-10-24,NA,NA,NA
"Apocynaceae","Funastrum cynanchoides",1990-10-04,"United States","California","San Bernardino"
